dayofweek,date,holiday_category,holiday_type,holiday_code,holiday,notes,ISO_date,rollup_date,Regional,RGR,lower_window,upper_window,prior_scale
Monday,November 28 2011,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),28/11/2011, 27/11/2011,1,RGR West Coast,-1,0,1
Monday,November 28 2011,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,28/11/2011, 27/11/2011,1,,-1,0,1
Sunday,December 25 2011,X,National,Christmas Day,Christmas Day,No Notes,25/12/2011, 25/12/2011,0,,-1,0,2
Monday,December 26 2011,BD,National,Boxing Day,Boxing Day,Celebrated on 26th December. Typically it will be moved and celebrated on the next weekday if 26 December is a Saturday or Sunday,26/12/2011, 25/12/2011,0,,-1,0,1
Tuesday,December 27 2011,X,National,Christmas Holiday,Christmas Holiday,In lieu of Christmas Day,27/12/2011, 25/12/2011,0,,-1,0,2
Sunday,January 01 2012,NY,National,New Years Day,New Years Day,No Notes,1/01/2012, 01/01/2012,0,,-1,0,2
Monday,January 02 2012,N,National,New Years Day,Day after New Years Day,No Notes,2/01/2012, 01/01/2012,0,,-1,0,1
Tuesday,January 03 2012,N,National,New Years Day,New Years Day (in lieu),No Notes,3/01/2012, 08/01/2012,0,,-1,0,1
Monday,January 16 2012,R,Regional,Regional,Southland Anniversary Day,Varies - determined by local custom and tourist season.,16/01/2012, 15/01/2012,1,RGR Southland,-1,0,1
Monday,January 23 2012,R,Regional,Regional,Wellington Anniversary Day,Monday closest to 22 January,23/01/2012, 22/01/2012,1,RGR Wellington City |  RGR Wellington Region |  RGR Wairarapa,-1,0,1
Monday,January 30 2012,R,Regional,Regional,Auckland Anniversary Day,Monday nearest to January 29 (Auckland Anniversary Day),30/01/2012, 29/01/2012,1,RGR Auckland Central | RGR Auckland East | RGR Auckland North | RGR Auckland South |  RGR Auckland West |  RGR Hamilton |  RGR Waikato |  RGR Taupo |  RGR Tauranga |  RGR BOP Region |  RGR Coromandel West Bay of Plenty |  RGR Manawatu |  RGR Counties,-1,0,1
Monday,January 30 2012,R,Regional,Regional,Nelson Anniversary Day,Monday nearest to the actual day,30/01/2012, 29/01/2012,1,RGR Nelson,-1,0,1
Monday,February 06 2012,W,National,Waitangi Day,Waitangi Day,always commemorated on the exact date,6/02/2012, 05/02/2012,0,,-1,0,2
Monday,March 12 2012,R,Regional,Regional,Taranaki Anniversary Day,Second Monday in March to avoid Easter,12/03/2012, 11/03/2012,1,RGR Taranaki,-1,0,1
Monday,March 26 2012,R,Regional,Regional,Otago Anniversary Day,Monday nearest to the actual day,26/03/2012, 25/03/2012,1,RGR Otago,-1,0,1
Friday,April 06 2012,N,National,Good Friday,Good Friday,The Friday before Easter Sunday,6/04/2012, 08/04/2012,0,,-1,0,1
Monday,April 09 2012,N,National,Easter Monday,Easter Monday,Monday after Easter Sunday,9/04/2012, 08/04/2012,0,,-1,0,1
Wednesday,April 25 2012,N,National,Anzac Day,Anzac Day,always commemorated on the exact date,25/04/2012, 29/04/2012,0,,-1,0,1
Sunday,May 13 2012,R,Regional,Regional,Mother's Day,2nd Sunday in May. Not a public holiday.,13/05/2012, 13/05/2012,0,,-1,0,1
Monday,June 04 2012,N,National,Queen's Birthday,Queen's Birthday,The first Monday in June,4/06/2012, 03/06/2012,0,,-1,0,1
Sunday,September 02 2012,R,Regional,Regional,Father's Day,1st Sunday in September. Not a public holiday.,2/09/2012, 02/09/2012,0,,-1,0,1
Sunday,September 23 2012,R,Regional,Regional,Dominion Day,Fourth Monday in September,23/09/2012, 23/09/2012,1,RGR Canterbury,-1,0,1
Monday,October 22 2012,N,National,Labour Day,Labour Day,The fourth Monday in October,22/10/2012, 21/10/2012,0,,-1,0,1
Friday,October 26 2012,R,Regional,Regional,Hawkes Bay Anniversary Day,Friday before Labour Day,26/10/2012, 28/10/2012,1,RGR Hawkes Bay,-1,0,1
Monday,November 05 2012,R,Regional,Regional,Marlborough Anniversary Day,First Monday after Labour Day,5/11/2012, 04/11/2012,1,RGR Nelson,-1,0,1
Friday,November 16 2012,R,Regional,Regional,Christchurch Show Day,Northern and Central Canterbury. Second Friday after the first Tuesday in November,16/11/2012, 18/11/2012,1,RGR Christchurch City,-1,0,1
